test_name,metric,control_rate,treatment_rate,control_ci_lower,control_ci_upper,treatment_ci_lower,treatment_ci_upper,control_n,treatment_n,z_statistic,p_value,is_significant,relative_lift,absolute_lift,pooled_se,sample_size,information_fraction,adjusted_alpha,sequential_significant
Image Layout Test,clicked_cta,0.1966067864271457,0.22645290581162325,0.17199871594705304,0.22121485690723838,0.2004863021713341,0.2524195094519124,1002,998,-1.6342405062917442,0.1022083603387189,False,0.1518061503718096,0.029846119384477537,0.01826299083248241,2000,0.008063443170868392,0.0,False
Image Layout Test,clicked_cta,0.1946564885496183,0.22433460076045628,0.17068513959335924,0.2186278375058774,0.19912734533291576,0.2495418561879968,1048,1052,-1.6709138116057207,0.0947387030295143,False,0.15246402743606954,0.029678112210837965,0.01776160565835397,2100,0.008466615329411812,0.0,False
Image Layout Test,clicked_cta,0.20018281535648993,0.22513562386980107,0.17647190700050394,0.22389372371247593,0.2005203039214907,0.24975094381811144,1094,1106,-1.4299476171388226,0.1527320539944769,False,0.12465010280165473,0.024952808513311137,0.01745015566600903,2200,0.008869787487955232,0.0,False
Image Layout Test,clicked_cta,0.19912663755458515,0.22424242424242424,0.17599576837760325,0.22225750673156705,0.200188884226612,0.2482959642582365,1145,1155,-1.474147895165674,0.1404417753061183,False,0.1261297182349814,0.025115786687839092,0.017037494521549634,2300,0.009272959646498652,0.0,False
Image Layout Test,clicked_cta,0.199163179916318,0.22406639004149378,0.17651982986541076,0.22180652996722522,0.20052374752240962,0.24760903256057795,1195,1205,-1.4932963645741184,0.13535962678949726,False,0.125039227309181,0.024903210125175795,0.01667666962564265,2400,0.00967613180504207,0.0,False
Image Layout Test,clicked_cta,0.1995172968624296,0.22593476531424025,0.17730063634399837,0.22173395738086085,0.20281620610069054,0.24905332452778997,1243,1257,-1.6136005816681884,0.10661409060879712,False,0.13240690840967995,0.026417468451810644,0.01637175193907,2500,0.01007930396358549,0.0,False
Image Layout Test,clicked_cta,0.19876256767208042,0.2234123947972456,0.17701069045763146,0.22051444488652938,0.2008305636083897,0.2459942259861015,1293,1307,-1.5398152115347479,0.12360540295906587,False,0.12401644541960531,0.02464982712516517,0.016008302126458707,2600,0.01048247612212891,0.0,False
Image Layout Test,clicked_cta,0.2,0.22417582417582418,0.1785430766642908,0.2214569233357092,0.20205212180717685,0.24629952654447151,1335,1365,-1.536063159141487,0.12452289073206048,False,0.12087912087912087,0.024175824175824173,0.0157388216961965,2700,0.01088564828067233,0.0,False
Image Layout Test,clicked_cta,0.19696969696969696,0.2248939179632249,0.1760318437334783,0.21790755020591562,0.2031322182168745,0.24665561770957528,1386,1414,-1.8104010946340323,0.07023360967750042,False,0.14176912196714178,0.027924220993527926,0.015424328385734175,2800,0.01128882043921575,0.0,False
Image Layout Test,clicked_cta,0.19832985386221294,0.22556390977443608,0.17771351194065263,0.21894619578377325,0.20414716176865844,0.24698065778021372,1437,1463,-1.7938297020149503,0.07284035458842074,False,0.13731697665215667,0.027234055912223137,0.015182074352783886,2900,0.011691992597759169,0.0,False
Image Layout Test,clicked_cta,0.20107238605898123,0.22612732095490717,0.18073507124589955,0.2214097008720629,0.20501389564510888,0.24724074626470546,1492,1508,-1.6739635728828735,0.0941377586697126,False,0.12460654288240504,0.025054934895925945,0.014967431371745285,3000,0.012095164756302589,0.0,False
Image Layout Test,clicked_cta,0.19870550161812298,0.22765273311897105,0.17880862643873438,0.21860237679751157,0.20681139325932255,0.24849407297861956,1545,1555,-1.9674816471709007,0.04912770970760241,True,0.1456790640677859,0.028947231500848075,0.014712834319177586,3100,0.012498336914846008,0.0,False
Image Layout Test,clicked_cta,0.20025188916876574,0.22518610421836227,0.18056904906895027,0.2199347292685812,0.2047952665834225,0.24557694185330203,1588,1612,-1.7230219816410268,0.08488455000494474,False,0.12451425628540658,0.02493421504959653,0.01447121122961466,3200,0.012901509073389428,0.0,False
Image Layout Test,clicked_cta,0.19792302993280392,0.2248947684906795,0.1786220241855084,0.21722403568009943,0.20482825243257272,0.24496128454878627,1637,1663,-1.896946218703879,0.057835036574567136,False,0.13627387660259974,0.026971738557875574,0.014218504611219013,3300,0.013304681231932848,0.0,False
Image Layout Test,clicked_cta,0.19774346793349168,0.22435897435897437,0.1787202163488108,0.21676671951817256,0.20462150093532464,0.2440964477826241,1684,1716,-1.901131987322988,0.05728472675979844,False,0.13459613459613468,0.026615506425482688,0.013999820424335912,3400,0.013707853390476267,0.0,False
Image Layout Test,clicked_cta,0.19689119170984457,0.2217810550198525,0.1781908940173522,0.21559148940233694,0.20238849889832286,0.24117361114138217,1737,1763,-1.809364362826143,0.07039441581991555,False,0.1264143057587246,0.024889863310007948,0.013756136586624895,3500,0.014111025549019687,0.0,False
Image Layout Test,clicked_cta,0.1959686450167973,0.22160970231532526,0.17755935026337702,0.2143779397702176,0.2024969803626884,0.24072242426796212,1786,1814,-1.8922026022706255,0.05846399179411443,False,0.1308426523862026,0.025641057298527947,0.01355090478564976,3600,0.014514197707563107,0.0,False
Image Layout Test,clicked_cta,0.1946564885496183,0.2202572347266881,0.17653585199847283,0.2127771251007638,0.20145397956471725,0.23906048988865894,1834,1866,-1.9197575230211756,0.05488853456242658,False,0.13151755879200555,0.025600746177069783,0.013335406096901852,3700,0.014917369866106527,0.0,False
Image Layout Test,clicked_cta,0.19275825346112885,0.21852237252861603,0.174917688833482,0.2105988180887757,0.20004766263017007,0.236997082427062,1878,1922,-1.9641225747019524,0.04951587885373667,True,0.13366026411254403,0.025764119067487185,0.013117368233190225,3800,0.015320542024649947,0.0,False
Image Layout Test,clicked_cta,0.1917312661498708,0.2203562340966921,0.17419117014375932,0.20927136215598227,0.2020298160213523,0.2386826521720319,1935,1965,-2.209380793044824,0.02714816583292547,True,0.14929733956091443,0.028624967946821317,0.012956104279051082,3900,0.015723714183193366,0.0,False
Image Layout Test,clicked_cta,0.19122098890010092,0.22001982160555006,0.173907723681344,0.20853425411885784,0.20194557526111157,0.23809406794998855,1982,2018,-2.252728023683952,0.02427630286699186,True,0.15060497736728282,0.02879883270544914,0.012783981200870207,4000,0.016126886341736785,0.0,False
Image Layout Test,clicked_cta,0.18906942392909898,0.22039632672788786,0.17204017014761902,0.20609867771057894,0.20253527780475208,0.23825737565102365,2031,2069,-2.4848269682501867,0.012961441804604824,True,0.16568994683421934,0.031326902798788886,0.012607277367425415,4100,0.016530058500280203,0.0,False
Image Layout Test,clicked_cta,0.1889423076923077,0.22216981132075472,0.1721191736587503,0.20576544172586508,0.20447421994728965,0.2398654026942198,2080,2120,-2.663496098858325,0.007733330857381684,True,0.17586057900043214,0.033227503628447036,0.01247514634719743,4200,0.016933230658823625,0.0,False
Image Layout Test,clicked_cta,0.1902967498822421,0.22094625631603124,0.17359923955783182,0.20699426020665238,0.20351832219474258,0.2383741904373199,2123,2177,-2.48539222414458,0.012940876561914472,True,0.16106163900726322,0.030649506433789137,0.012331858986296643,4300,0.017336402817367043,0.0,False
Image Layout Test,clicked_cta,0.190234914785813,0.22072678331090176,0.1737250765883913,0.20674475298323472,0.20350946737063585,0.23794409925116766,2171,2229,-2.5017703612349864,0.012357404976123247,True,0.16028534277958276,0.030491868525088756,0.01218811646247044,4400,0.017739574975910465,0.0,False
Image Layout Test,clicked_cta,0.19026149684400362,0.22261174408413673,0.17392664612314238,0.20659634756486486,0.20554371812221622,0.23967977004605723,2218,2282,-2.6794574799687365,0.007374156813150141,True,0.17003044639482282,0.032350247240133106,0.012073431835354432,4500,0.018142747134453883,0.0,False
Image Layout Test,clicked_cta,0.19070796460176992,0.22435897435897437,0.17451110117811056,0.20690482802542928,0.20745681191617418,0.24126113680177455,2260,2340,-2.8120370235573224,0.004922883652406339,True,0.17645309060622286,0.03365100975720445,0.011966773365819621,4600,0.018545919292997304,0.0,False
Image Layout Test,clicked_cta,0.19142485924642702,0.2245922208281054,0.17537779891951363,0.2074719195733404,0.20786511769544425,0.24131932396076655,2309,2391,-2.7992418854477856,0.005122275044850166,True,0.1732656965884511,0.03316736158167838,0.01184869437475308,4700,0.018949091451540723,0.0,False
Image Layout Test,clicked_cta,0.19005102040816327,0.22263071895424835,0.17419503028973282,0.20590701052659371,0.2061510449605078,0.23911039294798891,2352,2448,-2.7866841005721903,0.005325036107149372,True,0.17142606483309197,0.032579698546085084,0.011691206240203362,4800,0.01935226361008414,0.0,False
Image Layout Test,clicked_cta,0.1896623593163818,0.22111155537784885,0.17397475785471286,0.20534996077805076,0.20484728462812038,0.23737582612757732,2399,2501,-2.7224685784980505,0.006479619497281897,True,0.16581675022298775,0.03144919606146704,0.01155172048994488,4900,0.019755435768627563,0.0,False
Image Layout Test,clicked_cta,0.18915613534447615,0.22025912838633688,0.17365804634491463,0.20465422434403766,0.20416469371867457,0.23635356305399918,2453,2547,-2.7234533005881034,0.006460334832162862,True,0.16443026278380254,0.031102993041860733,0.011420424589305181,5000,0.02015860792717098,0.0,False
Image Layout Test,clicked_cta,0.1880752300920368,0.22145328719723184,0.17275417552619837,0.20339628465787524,0.205495917080887,0.2374106573135767,2499,2601,-2.951153036689101,0.0031659001366447143,True,0.1774718397997498,0.033378057105195036,0.011310174935096515,5100,0.020561780085714403,0.0,False
Image Layout Test,clicked_cta,0.18784313725490195,0.2218867924528302,0.17268326203966256,0.20300301247014135,0.20606658137704406,0.23770700352861632,2550,2650,-3.0388969263457923,0.002374460790530247,True,0.1812344900933549,0.034043655197928235,0.011202635700732697,5200,0.02096495224425782,0.0,False
Image Layout Test,clicked_cta,0.18983442433577205,0.22160562338142803,0.17475146729977245,0.20491738137177165,0.2059483800374482,0.23726286672540786,2597,2703,-2.8587840680814716,0.004252681558825909,True,0.16736268543928717,0.03177119904565598,0.011113535786204942,5300,0.02136812440280124,0.0,False
Image Layout Test,clicked_cta,0.1893424036281179,0.22258533042846768,0.17441460243898446,0.20427020481725136,0.20704927514192634,0.23812138571500902,2646,2754,-3.017896506505017,0.00254535815419008,True,0.17557042777190715,0.033242926800349765,0.01101526401872804,5400,0.02177129656134466,0.0,False
Image Layout Test,clicked_cta,0.19167904903417535,0.2215099715099715,0.1768097736772575,0.2065483243910932,0.2061506261066468,0.2368693169132962,2692,2808,-2.7300471397064685,0.0063325269841070855,True,0.15562954128845594,0.029830922475796162,0.01092688915217909,5500,0.02217446871988808,0.0,False
Image Layout Test,clicked_cta,0.19285453882610282,0.22296114805740286,0.17808979133818909,0.20761928631401655,0.20769853359955867,0.23822376251524705,2743,2857,-2.7738103452462375,0.005540396712280169,True,0.1561104520254367,0.03010660923130004,0.010853881658815217,5600,0.0225776408784315,0.0,False
Image Layout Test,clicked_cta,0.19405656999641963,0.22497420020639836,0.17938998247341972,0.20872315751941953,0.20979496070595496,0.24015343970684175,2793,2907,-2.865740288443588,0.004160354033328442,True,0.15932276969828524,0.03091763020997873,0.010788706267158077,5700,0.02298081303697492,0.0,False
Image Layout Test,clicked_cta,0.19464033850493653,0.22469635627530365,0.18006876874091826,0.2092119082689548,0.20967037238730396,0.23972234016330335,2836,2964,-2.8092245943394745,0.004966098841307766,True,0.15441823622601658,0.03005601777036712,0.010699044081747445,5800,0.023383985195518337,0.0,False
Image Layout Test,clicked_cta,0.19202772963604853,0.22587064676616916,0.1776544662522882,0.20640099301980885,0.2109447271593596,0.24079656637297872,2885,3015,-3.194118766892863,0.0014025840136088158,True,0.1762397399285163,0.03384291713012064,0.010595384705447866,5900,0.02378715735406176,0.0,False
Image Layout Test,clicked_cta,0.19285714285714287,0.22549019607843138,0.17859556773294233,0.2071187179813434,0.21068327813363635,0.2402971140232264,2940,3060,-3.105085132061728,0.0019022426579701846,True,0.16920842411038486,0.03263305322128851,0.010509551858766807,6000,0.024190329512605177,0.0,False
Image Layout Test,clicked_cta,0.1932045303131246,0.22466107165913493,0.17908132978952276,0.20732773083672643,0.20996446427662557,0.2393576790416443,3002,3098,-3.019902707991382,0.002528558958762286,True,0.1628147191736604,0.031456541346010336,0.010416408867334975,6100,0.0245935016711486,0.0,False
Image Layout Test,clicked_cta,0.19200524246395806,0.22490470139771285,0.17803137431173,0.20597911061618612,0.21031966398442808,0.2394897388109976,3052,3148,-3.186862432876139,0.0014382516479243099,True,0.17134667007819046,0.03289945893375479,0.010323463791332553,6200,0.024996673829692017,0.0,False
Image Layout Test,clicked_cta,0.19225806451612903,0.225625,0.17838584851747927,0.2061302805147788,0.2111425388102723,0.24010746118972767,3100,3200,-3.2552388926160156,0.0011329702182271146,True,0.17355285234899323,0.03336693548387096,0.010250226353450884,6300,0.025399845988235435,0.0,False
Image Layout Test,clicked_cta,0.1945945945945946,0.22427035330261136,0.18075859876889666,0.20843059042029255,0.20994142455985554,0.23859928204536718,3145,3255,-2.915492772292395,0.0035512733249929047,True,0.15250042669397498,0.029675758708016753,0.01017864252315854,6400,0.025803018146778857,0.0,False
Image Layout Test,clicked_cta,0.19462667916276163,0.2240072749317975,0.18091138711765398,0.2083419712078693,0.20978016066690258,0.23823438919669243,3201,3299,-2.9098169369993596,0.003616405102316058,True,0.15095872721779105,0.029380595769035872,0.01009705985124051,6500,0.026206190305322275,0.0,False
Image Layout Test,clicked_cta,0.19489701813710422,0.22467881685091126,0.18128462842071613,0.2085094078534923,0.2105390540571702,0.23881857964465233,3253,3347,-2.969789388206415,0.002980039813735015,True,0.1528078725804642,0.02978179871380704,0.01002825278859036,6600,0.026609362463865697,0.0,False
Image Layout Test,clicked_cta,0.19624470018170806,0.2248381400824014,0.18269840765362147,0.20979099270979465,0.21080135683087456,0.23887492333392826,3302,3398,-2.8690687641143215,0.004116822858501248,True,0.14570299159273062,0.02859343990069335,0.009966104771810903,6700,0.027012534622409115,0.0,False
Image Layout Test,clicked_cta,0.19809069212410502,0.2247679814385151,0.1845982442797057,0.21158313996850434,0.21083488843876844,0.23870107443826175,3352,3448,-2.692641208803907,0.0070888509527396,True,0.13467209906913036,0.026677289314410074,0.009907480145214127,6800,0.027415706780952533,0.0,False
Image Layout Test,clicked_cta,0.1965962441314554,0.2247995418098511,0.18325326412921256,0.20993922413369825,0.21095381702648985,0.23864526659321234,3408,3492,-2.871315454665026,0.004087673807886894,True,0.14345796789249626,0.02820329767839569,0.009822430911439492,6900,0.027818878939495955,0.0,False
Image Layout Test,clicked_cta,0.1978625072212594,0.22498586772187676,0.1845919022592586,0.2111331121832602,0.21122640083972727,0.23874533460402625,3462,3538,-2.7779679830096806,0.005470000778837645,True,0.13708185993158734,0.027123360500617366,0.009763741218943647,7000,0.028222051098039373,0.0,False
Image Layout Test,clicked_cta,0.1983447488584475,0.22525027808676307,0.18514182202169094,0.21154767569520405,0.21159653798216044,0.2389040181913657,3504,3596,-2.773283758318101,0.0055493708201170685,True,0.13565032290074497,0.026905529228315572,0.009701686366429676,7100,0.028625223256582795,0.0,False
Image Layout Test,clicked_cta,0.19808666291502533,0.22408118486012069,0.18498336197710308,0.21118996385294758,0.21054642369692556,0.23761594602331582,3554,3646,-2.701559802495211,0.006901506778679421,True,0.13122802697850694,0.025994521945095356,0.009622042022200038,7200,0.029028395415126213,0.0,False
Image Layout Test,clicked_cta,0.19822567230385363,0.22474952613051719,0.1852155600800505,0.21123578452765676,0.2112869289981741,0.23821212326286026,3607,3693,-2.7737918963210153,0.0055407108978232245,True,0.13380635070318245,0.026523853826663557,0.009562308499726726,7300,0.02943156757366963,0.0,False
Image Layout Test,clicked_cta,0.19736842105263158,0.2244136460554371,0.1844527305075098,0.21028411159775337,0.2110644108017715,0.2377628813091027,3648,3752,-2.8503141470109354,0.004367606724141865,True,0.1370291400142146,0.027045225002805512,0.009488506742727734,7400,0.029834739732213053,0.0,False
Image Layout Test,clicked_cta,0.1985930735930736,0.22423764458464773,0.18573160077394907,0.21145454641219813,0.21098366037181673,0.23749162879747873,3696,3804,-2.718440941722925,0.006559036381850403,True,0.12913124575593732,0.025644570991574134,0.009433558256859102,7500,0.03023791189075647,0.0,False
Image Layout Test,clicked_cta,0.1995205114544486,0.22360894435777431,0.1867364209776602,0.212304601931237,0.21044068721929518,0.23677720149625345,3754,3846,-2.5700373555234775,0.010168754923262158,True,0.12073161164096759,0.024088432903325713,0.009372794855123523,7600,0.030641084049299893,0.0,False
Image Layout Test,clicked_cta,0.1987904286089929,0.2237618681036695,0.18610644337525062,0.2114744138427352,0.21067687752463243,0.23684685868270655,3803,3897,-2.683021944093568,0.007296020279097773,True,0.12561691057970248,0.02497143949467659,0.00930720658086639,7700,0.03104425620784331,0.0,False
Image Layout Test,clicked_cta,0.19911734164070613,0.22416413373860183,0.18650650385087397,0.2117281794305383,0.21115562512748912,0.23717264234971455,3852,3948,-2.7068187276371702,0.006793133877325701,True,0.1257891045125088,0.025046792097895704,0.00925322107541331,7800,0.03144742836638673,0.0,False
Image Layout Test,clicked_cta,0.199128651973347,0.2236118059029515,0.18659860457969035,0.21165869936700366,0.21069623755397573,0.23652737425192724,3902,3998,-2.6640878737642004,0.00771973940356818,True,0.1229514371085157,0.024483153929604484,0.009190069956292853,7900,0.03185060052493015,0.0,False
Image Layout Test,clicked_cta,0.1990401616569841,0.22494432071269488,0.18660271966690006,0.21147760364706814,0.21207049475233053,0.23781814667305923,3959,4041,-2.833590533344492,0.0046028267958657795,True,0.13014538794614083,0.02590415905571078,0.009141814510911728,8000,0.03225377268347357,0.0,False
Image Layout Test,clicked_cta,0.1989502624343914,0.2244449865820932,0.18658037308688147,0.21132015178190133,0.21167264892823842,0.23721732423594796,4001,4099,-2.807443214393488,0.004993648316667431,True,0.12814622024491817,0.02549472414770179,0.009081118370264027,8100,0.03265694484201699,0.0,False
Image Layout Test,clicked_cta,0.2003454231433506,0.22449963829274175,0.18802286955350936,0.21266797673319185,0.21180033490959432,0.23719894167588917,4053,4147,-2.672951565857907,0.007518710517665473,True,0.12056284975428856,0.024154215149391145,0.009036533043814672,8200,0.033060117000560406,0.0,False
Image Layout Test,clicked_cta,0.20166015625,0.2243101807802093,0.18937241467568366,0.21394789782431634,0.21170104632536138,0.23691931523505724,4096,4204,-2.519215340393421,0.0117616700188996,True,0.11231779718612268,0.02265002453020931,0.008990904495949957,8300,0.03346328915910383,0.0,False
Image Layout Test,clicked_cta,0.20106075216972036,0.22412982126058326,0.1888638582452451,0.21325764609419562,0.21159564448898538,0.23666399803218113,4148,4252,-2.5829986366376114,0.009794571004126248,True,0.11473680885959148,0.023069069090862898,0.008931119344643863,8400,0.03386646131764725,0.0,False
Image Layout Test,clicked_cta,0.20128632682229633,0.22547652254765224,0.18915719905673672,0.21341545458785594,0.2129888688818134,0.23796417621349109,4198,4302,-2.7209229565195927,0.006509993195481101,True,0.12017803746159067,0.024190195725355912,0.008890437587508269,8500,0.03426963347619067,0.0,False
Image Layout Test,clicked_cta,0.2009873060648801,0.2252646111366774,0.18894497667007024,0.21302963545968998,0.2128444733988965,0.23768474887445828,4254,4346,-2.7480690616013033,0.005994738071770591,True,0.12079024067301249,0.02427730507179729,0.008834314031995569,8600,0.034672805634734086,0.0,False
Image Layout Test,clicked_cta,0.20065025545750115,0.22553482020937643,0.18868837777909137,0.21261213313591093,0.21317745693668716,0.2378921834820657,4306,4394,-2.833335683131677,0.004606498397741924,True,0.1240196016453414,0.024884564751875282,0.008782780275569202,8700,0.03507597779327751,0.0,False
Image Layout Test,clicked_cta,0.19967941378520723,0.22512970900067675,0.18782295118674847,0.211535876383666,0.2128346636379534,0.2374247543634001,4367,4433,-2.9180128596563026,0.0035226982170461826,True,0.12745577890591211,0.025450295215469515,0.00872178994388228,8800,0.03547914995182093,0.0,False
Image Layout Test,clicked_cta,0.19873389102419173,0.22492740674558856,0.18697371083311395,0.2104940712152695,0.2126968304227307,0.23715798306844643,4423,4477,-3.0233406894543737,0.002500006198862969,True,0.13180195680971352,0.02619351572139683,0.008663765817977996,8900,0.035882322110364344,0.0,False
Image Layout Test,clicked_cta,0.1975833519803088,0.22445376296623262,0.18590939594423203,0.20925730801638556,0.21230538339562174,0.2366021425368435,4469,4531,-3.1231424790071105,0.001789311057718454,True,0.13599531902162354,0.026870410985923826,0.008603645580225432,9000,0.036285494268907766,0.0,False
Image Layout Test,clicked_cta,0.1976127320954907,0.22530594405594406,0.1860093052501921,0.20921615894078932,0.21320117467417393,0.2374107134377142,4524,4576,-3.234238274281502,0.0012196765276185437,True,0.1401388041488713,0.02769321196045335,0.00856251445067247,9100,0.03668866642745119,0.0,False
Image Layout Test,clicked_cta,0.19816673941510257,0.22715461238631443,0.18662482196087934,0.2097086568693258,0.2150701254593588,0.23923909931327006,4582,4618,-3.397113947982543,0.0006810060290245923,True,0.14628021360582902,0.02898787297121186,0.008533088208132375,9200,0.03709183858599461,0.0,False
Image Layout Test,clicked_cta,0.19741379310344828,0.22725321888412017,0.18596067621226728,0.20886690999462929,0.2152214700668341,0.23928496770140625,4640,4660,-3.5180055468640195,0.00043480327400231405,True,0.15115167644357813,0.02983942578067189,0.008481915501034673,9300,0.037495010744538024,0.0,False
Image Layout Test,clicked_cta,0.19701810436634717,0.226567481402763,0.18564088223078856,0.2083953265019058,0.21460618425322286,0.23852877855230314,4695,4705,-3.5058589641358986,0.00045513631885794734,True,0.14998305425510522,0.02954937703641583,0.008428569813760027,9400,0.037898182903081445,0.0,False
Image Layout Test,clicked_cta,0.19726027397260273,0.2262881177707676,0.1859379083100426,0.20858263963516288,0.2143950651974073,0.2381811703441279,4745,4755,-3.4623665472567584,0.0005354473812092819,True,0.147155041476808,0.029027843798164865,0.008383815925313771,9500,0.03830135506162487,0.0,False
Image Layout Test,clicked_cta,0.19804044194288098,0.22652508848636269,0.1867628491518946,0.20931803473386737,0.21468723207641668,0.2383629448963087,4797,4803,-3.4124569210182982,0.000643801017137769,True,0.1438324731253492,0.028484646543481706,0.008347254544969233,9600,0.03870452722016828,0.0,False
Image Layout Test,clicked_cta,0.1978135313531353,0.2267106347897774,0.1866002569649973,0.20902680574127333,0.21492929558731463,0.23849197399224017,4848,4852,-3.479994905407579,0.0005014233174010734,True,0.1460825416692814,0.02889710343664209,0.008303777511782778,9700,0.039107699378711704,0.0,False
Image Layout Test,clicked_cta,0.19811899407074218,0.2263190059075168,0.18694863123806715,0.2092893569034172,0.21461342280494128,0.23802458901009232,4891,4909,-3.4136371660621876,0.0006410188182971512,True,0.14233875943618643,0.02820001183677462,0.008260986878492665,9800,0.039510871537255125,0.0,False
Image Layout Test,clicked_cta,0.19761326860841424,0.2261904761904762,0.18651363150504893,0.20871290571177956,0.21454287117118714,0.23783808120976524,4944,4956,-3.478856796012001,0.0005035576006194815,True,0.14461178534873517,0.028577207582061948,0.008214539792158597,9900,0.03991404369579854,0.0,False
Image Layout Test,clicked_cta,0.1978748997594226,0.22585794094173983,0.18681881712943085,0.20893098238941435,0.21428161959726472,0.23743426228621495,4988,5012,-3.423793184474334,0.0006175359860910169,True,0.14141784135501353,0.02798304118231723,0.008173110837772042,10000,0.04031721585434196,0.0,False
Image Layout Test,clicked_cta,0.1976190476190476,0.22529644268774704,0.1866255084267814,0.2086125868113138,0.2137853175561382,0.23680756781935589,5040,5060,-3.4057296995463853,0.0006598747679577847,True,0.1400542882994429,0.02767739506869943,0.008126715127270912,10100,0.04072038801288538,0.0,False
Image Layout Test,clicked_cta,0.19776339022954678,0.2257495590828924,0.186828486548099,0.20869829391099456,0.21427887040436538,0.23722024776141942,5097,5103,-3.4590651113902284,0.0005420538505396533,True,0.14151339548164946,0.027986168853345622,0.008090674200144714,10200,0.041123560171428805,0.0,False
Image Layout Test,clicked_cta,0.19887356768304526,0.22558726460881381,0.18797107740587743,0.2097760579602131,0.21417305487444505,0.23700147434318258,5149,5151,-3.3152573547248263,0.0009155878978014236,True,0.13432502487381082,0.026713696925768554,0.008057804890379574,10300,0.04152673232997222,0.0,False
Image Layout Test,clicked_cta,0.19819473785289035,0.22568842672828807,0.18736707279036505,0.20902240291541566,0.21431866274646708,0.23705819071010906,5207,5193,-3.4304086882209277,0.0006026727757799911,True,0.13872057943236035,0.027493688875397715,0.008014697773417907,10400,0.04192990448851564,0.0,False
Image Layout Test,clicked_cta,0.19787112716213648,0.2265699560984921,0.18710580010321606,0.2086364542210569,0.21523458947628873,0.23790532272069545,5261,5239,-3.5962868013361473,0.000322791904925198,True,0.14503798178114014,0.028698828936355614,0.00798012798247709,10500,0.04233307664705906,0.0,False
Image Layout Test,clicked_cta,0.1980421686746988,0.22617246596066565,0.18732515805804387,0.2087591792913537,0.2148967449021934,0.2374481870191379,5312,5288,-3.542489850737742,0.00039636867513959204,True,0.14204195739834216,0.02813029728596686,0.007940826500916744,10600,0.04273624880560248,0.0,False
Image Layout Test,clicked_cta,0.19712793733681463,0.2255526414387411,0.1864795963941045,0.20777627827952477,0.21434075432477018,0.23676452855271202,5362,5338,-3.60117939202128,0.0003167768958925327,True,0.1441941943183819,0.028424704101926462,0.007893165268274004,10700,0.0431394209641459,0.0,False
